Metadata Name,Profiles,Permission Sets,Permission Set Groups
BulkMessageComponentController,['System Administrator'],"['SMS Magic Academic Advising', 'SMS Magic First Year Success Coach']","['SMS Magic Users - Academic Advisors Manager', 'SMS Magic Users - Academic Advisors Staff', 'SMS Magic Users - FYS']"
BulkMessageComponentControllerTest,['System Administrator'],"['SMS Magic Academic Advising', 'SMS Magic First Year Success Coach']","['SMS Magic Users - Academic Advisors Manager', 'SMS Magic Users - Academic Advisors Staff', 'SMS Magic Users - FYS']"
BusinessUnitFactory,['System Administrator'],[],[]
CampaignDispatcher,['System Administrator'],[],[]
CampaignHashUpdateBatch,['System Administrator'],[],[]
CampaignMemberDispatcher,['System Administrator'],[],[]
CampaignMemberFactory,['System Administrator'],[],[]
CampaignMemberManagementController,"['ASU Recruitment - Team (ESISD)', 'ASU Recruitment - Graduate Recruiter', 'ASU Read Only', 'ASU Marketing User', 'ASU View All Data', 'ASU Recruitment - Applicant Services', 'ASU Recruitment - Business Operations', 'ASU Recruitment - Freshman Recruiter', 'ASU Recruitment - Admission Services', 'ASU Recruitment - Transfer Recruiter', 'ASU Recruitment - International Recruiter', 'ASU Recruitment - Events', 'ASU Recruitment - Havasu', 'ASU Recruitment - Leads (ESISD)', 'ASU Recruitment - Freshman Recruiter (Temp Access to Org Wide)', 'ASU Recruitment - Business Intelligence', 'System Administrator']",['Role: Recruiting (Service Users)'],[]
CampaignMemberManagementControllerTest,['System Administrator'],[],[]
CampaignMemberService,['System Administrator'],[],[]
CampaignMemberTriggerTest,['System Administrator'],[],[]
CampaignService,['System Administrator'],[],[]
CampaignTriggerTest,['System Administrator'],[],[]
CarScrambler,['System Administrator'],[],[]
CarScramblerTest,['System Administrator'],[],[]
CARService,['System Administrator'],[],[]
CaseAssignmentRuleAccessor,['System Administrator'],[],[]
CaseAssignmentRuleAccessorTest,['System Administrator'],[],[]
CaseClassificationFactory,['System Administrator'],[],[]
CaseClassificationPicklistService,['System Administrator'],[],[]
CaseClassificationPicklistTest,['System Administrator'],[],[]
CaseClassifier,['System Administrator'],[],[]
CaseCreationFormController,"['ASU Service - Success Coach', 'System Administrator']","['Role: Academic Advisor Portal (Service Users)', 'Role: EdPlus Coach Portal (Non-Success Coach)']",[]
CaseCreationFormControllerTest,['System Administrator'],[],[]
CaseDetailWithClassificationController,['System Administrator'],[],[]
CaseDetailWithClassificationTest,['System Administrator'],[],[]
CaseDetailWithRelatedCasesController,['System Administrator'],[],[]
CaseFactory,['System Administrator'],[],[]
CaseHandler,['System Administrator'],[],[]
CaseInboundEmailHandler,['System Administrator'],['Additional Administrator Permissions'],[]
CaseInboundEmailHandlerTest,['System Administrator'],[],[]
CaseListTransferController,['System Administrator'],[],[]
CaseListTransferControllerTest,['System Administrator'],[],[]
CaseOperationsForSandBoxRefresh,['System Administrator'],[],[]
CaseOperationsForSandBoxRefreshTest,['System Administrator'],[],[]
CaseScrambler,['System Administrator'],[],[]
CaseService,['System Administrator'],[],[]
CaseShowAllAttachmentsControllerExt,"['ASU Service - MasterCard Program', 'ASU Service - Public Service Academy', 'ASU Service - Biosafety', 'ASU Service - New College Deans Office', 'ASU Service - Engineering - K12 Engineering Education', 'ASU Service - University Events & Protocol', 'ASU Service - Psychology Research Advancement', 'ASU Service - ASU Local', 'ASU Service - The College - Interplanetary Initiatives', 'ASU Service - Watts Bridging Success', 'ASU Service - ASU Family Programs', 'ASU Service - TC SOLS Academic Integrity', 'ASU Service - DNASU Plasmid Repository', 'ASU Service - Success Courses', 'ASU Service - Opportunities for Youth', 'ASU Service - ATCS and Study Abroad', 'ASU Service - TC - SCETL', 'ASU Service - Explore', 'ASU Service - College of Global Futures', 'ASU Service - Enrollment Analysis', 'ASU Service - International Students and Scholars Center SMS', 'ASU Service - Engineering - Poly HR', 'ASU Service - Information Technology Support Hub', 'ASU Service - SMS API', 'ASU Service - Design and the Arts', 'ASU Service - International Initiatives Graduate Education', 'ASU Service - W. P. Carey Business', 'ASU Service - Parking and Transit Services', 'ASU Service - First Year Success Center', 'ASU Service - Pat Tillman Veteran Center', 'ASU Service - Thunderbird', 'ASU Service - EOSS', 'ASU Service - Sun Devil Card Services', 'ASU Service - Career Services', 'ASU Service - University Academic Success Programs', 'ASU Service - Honors', 'ASU Service - Journalism', 'ASU Service - Office of the University Provost', 'ASU Service - TC - AIS', 'ASU Service - TC  - The Sanford School', 'ASU Service - TC - SST', 'ASU Service - TC - Army ROTC', 'ASU Service - ASU Salesforce Support', 'ASU Service - International Students and Scholars Center', 'ASU Service - School for the Future of Innovation in Society', 'ASU Service - American Indian Student Support Services', 'ASU Service - ASU Wellness', 'ASU Service - Student Engagement', 'ASU Service - TRIO', 'ASU Service - TC - Air Force ROTC', 'ASU Service - TC - Navy ROTC', 'ASU Service - Fraternity & Sorority Life', 'ASU Service - Dean of Students', 'ASU Service - Enterprise Marketing Hub', 'ASU Service - Print Anywhere Tier 2', 'ASU Service - Sun Devil Fitness', 'ASU Service - MU Information Desk', 'ASU Service - Sun Devil Dining', 'ASU Service - Student Government', 'ASU Service - Strategic Initiatives', 'ASU Service - Financial Aid', 'ASU Service - Registrar', 'ASU Service - Student Business Services', 'ASU Service - ASU Online', 'ASU Service - ESM Online', 'ASU Service - Help Desk', 'ASU Service - W. P. Carey Tech Services', 'ASU Service - Tech Studio', 'ASU Service - Engineering IT', 'ASU Service - Identity Management', 'ASU Service - Student Success Innovations', 'ASU Service - Office of the President', 'ASU Service - Library Services(ARCHIVE)', 'ASU Service - Integrated Services', 'ASU Service - TEMPLATE', 'ASU Service - Graduate College', ""ASU Service - Engineering - Dean's Office"", 'ASU Service - Engineering - GOEE', 'ASU Service - Engineering - Poly', 'ASU Service - Engineering - SBHSE', 'ASU Service - Engineering - SEMTE', 'ASU Service - Engineering - SSEBE', 'ASU Service - Engineering - ECEE', 'ASU Service - Engineering - CIDSE', 'ASU Service - Access ASU Outreach', 'ASU Service - New Student Programs', 'ASU Service - University Housing', 'ASU Training - College of ASU', 'ASU Training - Department of ASU', 'ASU Service - Sustainability', 'ASU Service - Teachers College', 'ASU Service - Public Service', 'ASU Service - Nursing', 'ASU Service - Health Solutions', 'ASU Service - New College', 'ASU Service - Universal Learner Courses', 'ASU Service - LMS Support', 'ASU Service - Academic Transfer Credit Solutions', ""ASU Service - TC - Dean's Office"", 'ASU Service - TC - English', 'ASU Service - TC - SILC', 'ASU Service - TC - SHPRS', 'ASU Service - TC - SESE', 'ASU Service - TC - SOLS', 'ASU Service - TC - SoMSS', 'ASU Service - TC  - SMS', 'ASU Service - TC - Physics', 'ASU Service - TC - Psychology', 'ASU Service - Curricular Activities and Actions', 'ASU Service - TC - STS', 'ASU Service - TC - SGSUP', 'ASU Service - TC - HDSHC', 'ASU Service - TC - SPGS', 'ASU Service - TC - SHESC', 'ASU Service - Integrative Sciences and Arts', 'ASU Service - Global Education Office', 'ASU Service - Student & Cultural Engagement', 'ASU Service - International Student Engagement', 'ASU Service - Changemaker Central', 'ASU Service - Sun Devil Athletics', 'ASU Service - Office of the President (Temp Access to Org Wide)', 'ASU Service - ASU-USA Pathways', 'ASU Service - First in the World Grant', 'ASU Service - ITCSS Library Services', 'ASU Service - Success Coach', 'ASU Service - TC - ISSR', 'ASU Service - Academic Partnerships', 'ASU Service - Student Accessibility and Inclusive Learning Services', 'System Administrator']","['Additional Administrator Permissions', 'Role: Academic Advisor Portal (Service Users)', 'Role: EdPlus Coach Portal (Non-Success Coach)', 'Success Portal Management (EdPlus)']",[]
CaseShowAllAttachmentsControllerExtTest,['System Administrator'],[],[]
CaseStatusHttpMockCallout,['System Administrator'],[],[]
CaseTransferMassController,"['ASU Service - Success Coach', 'System Administrator']","['Role: Academic Advisor Portal (Service Users)', 'Role: EdPlus Coach Portal (Non-Success Coach)', 'Success Portal Management (EdPlus)']",[]
CaseTransferMassControllerTest,['System Administrator'],[],[]
CaseTriggerTest,['System Administrator'],[],[]
CaseUtilities,['System Administrator'],[],[]
CaseUtilitiesTest,['System Administrator'],[],[]
CaseWebformCloser,['System Administrator'],[],[]
CaseWebformCloserTest,['System Administrator'],[],[]
ChangePasswordController,['System Administrator'],['Additional Administrator Permissions'],[]
ChangePasswordControllerTest,['System Administrator'],['Additional Administrator Permissions'],[]
ChatMessage,['System Administrator'],[],[]
ChatMessageTest,['System Administrator'],[],[]
CheckRecursion,['System Administrator'],[],[]
CivitasPersistenceController,['System Administrator'],[],[]
CivitasPersistenceControllerTest,['System Administrator'],[],[]
CoachPortalMainPageController,"['ASU Service - Success Coach', 'System Administrator']",['Role: EdPlus Coach Portal (Non-Success Coach)'],[]
CoachPortalMainPageControllerTest,['System Administrator'],[],[]
CommunicationHistoryController,['System Administrator'],[],[]
CommunicationHistoryControllerTest,['System Administrator'],[],[]
CommunitiesLandingController,['System Administrator'],[],[]
CommunitiesLandingControllerTest,['System Administrator'],[],[]
CommunitiesLoginController,['System Administrator'],[],[]
CommunitiesLoginControllerTest,['System Administrator'],[],[]
CommunitiesSelfRegController,['System Administrator'],[],[]
CommunitiesSelfRegControllerTest,['System Administrator'],[],[]
ConstituentDetail,['System Administrator'],[],[]
ConstituentMatcher,['System Administrator'],[],[]
ConstituentMatcherTest,['System Administrator'],[],[]
ContactFactory,['System Administrator'],[],[]
ContactHandler,['System Administrator'],['Additional Administrator Permissions'],[]
ContactHashUpdateBatch,['System Administrator'],[],[]
ContactMatcherAPI,['System Administrator'],[],[]
ContactMatcherAPITest,['System Administrator'],[],[]
ContactMatcherBatch,['System Administrator'],[],[]
ContactMatcherBatchTest,['System Administrator'],[],[]
ContactOperationsForSandBoxRefresh,['System Administrator'],[],[]
ContactOperationsForSandBoxRefreshTest,['System Administrator'],[],[]
ContactPhoneAdder,['System Administrator'],[],[]
ContactPinUtility,['System Administrator'],[],[]
ContactScrambler,['System Administrator'],[],[]
ContactScramblerTest,['System Administrator'],[],[]
ContactService,['System Administrator'],[],[]
ContactTriggerTest,['System Administrator'],[],[]
ContactUploadAddFileExtension,['System Administrator'],[],[]
ContactUploadAddFileExtensionTest,['System Administrator'],[],[]
ContactUploadBatch,['System Administrator'],[],[]
ContactUploadBatchTest,['System Administrator'],[],[]
ContactUploadDetailFactory,['System Administrator'],[],[]
ContactUploadDetailService,['System Administrator'],[],[]
ContactUploadDetailServiceTest,['System Administrator'],[],[]
ContactUploadFactory,['System Administrator'],[],[]
ContactUploadFileReader,['System Administrator'],[],[]
ContactUploadSearcher,['System Administrator'],[],[]
ContactUploadSearcherTest,['System Administrator'],[],[]
ContactUploadValidator,['System Administrator'],[],[]
ContactUploadValidatorTest,['System Administrator'],[],[]
ConversationDispatcher,['System Administrator'],"['SMS Magic Academic Advising', 'SMS Magic First Year Success Coach']","['SMS Magic Users - Academic Advisors Manager', 'SMS Magic Users - Academic Advisors Staff', 'SMS Magic Users - FYS']"
ConversationDispatcherTest,['System Administrator'],"['SMS Magic Academic Advising', 'SMS Magic First Year Success Coach']","['SMS Magic Users - Academic Advisors Manager', 'SMS Magic Users - Academic Advisors Staff', 'SMS Magic Users - FYS']"
ConversationServicer,['System Administrator'],"['SMS Magic Academic Advising', 'SMS Magic First Year Success Coach']","['SMS Magic Users - Academic Advisors Manager', 'SMS Magic Users - Academic Advisors Staff', 'SMS Magic Users - FYS']"
ConversationServiceTest,['System Administrator'],[],[]
CrossOrgShareCallout,['System Administrator'],[],[]
CrossOrgShareCalloutMock,['System Administrator'],[],[]
CrossOrgShareCalloutTest,['System Administrator'],[],[]
CrossOrgShareUtilities,['System Administrator'],[],[]
CrossOrgShareUtilitiesTest,['System Administrator'],[],[]
CsvIterator,['System Administrator'],[],[]
CsvManager,['System Administrator'],[],[]
CsvManagerTest,['System Administrator'],[],[]
CsvReader,['System Administrator'],[],[]
CsvReaderTest,['System Administrator'],[],[]
customAlert,['System Administrator'],[],[]
CustomSenderService,['System Administrator'],"['SMS Magic Academic Advising', 'SMS Magic First Year Success Coach']","['SMS Magic Users - Academic Advisors Manager', 'SMS Magic Users - Academic Advisors Staff', 'SMS Magic Users - FYS']"
CustomSenderServiceTest,['System Administrator'],"['SMS Magic Academic Advising', 'SMS Magic First Year Success Coach']","['SMS Magic Users - Academic Advisors Manager', 'SMS Magic Users - Academic Advisors Staff', 'SMS Magic Users - FYS']"
DataComHierarchiesControllerExtension,"['ASU Corporate Relations', 'System Administrator']","['Merge Accounts and Contacts', 'Role: Corporate Relations']",['IAM Staff User Setup']
DataComHierarchiesControllerTest,['System Administrator'],[],[]
DeferredTABatchScheduler,['System Administrator'],[],[]
